rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,12.78,2158.2,2364.23,1961.16,3238.31,192,272,310,PEQUENO,4,13
2,15.19,1111.52,2460.78,9043.86,4447.56,887,226,1776,PEQUENO,1,14
3,19.0,79.41,2.28,9161.2,4573.09,1364,1986,1263,MEDIO,9,19
4,16.01,1520.95,1620.51,2637.58,2902.64,952,521,1504,GRANDE,6,17
5,10.76,515.0,2429.13,5032.26,846.64,1022,1112,615,MEDIO,8,18
6,19.07,1330.81,2838.77,4327.47,2014.64,192,52,583,GRANDE,4,9
7,13.8,2967.94,463.28,2852.89,2923.87,1376,695,612,PEQUENO,8,7
8,19.63,688.27,2462.07,3355.22,1649.72,1681,57,286,GRANDE,4,3
9,15.13,2020.39,2354.31,6764.37,3106.73,1766,1061,1356,GRANDE,3,3
10,12.66,499.81,202.71,6004.41,3869.62,1706,994,1768,GRANDE,3,9
11,13.82,2493.8,3368.74,3684.51,4144.7,265,506,659,MEDIO,4,17
12,12.32,426.47,1315.08,3395.71,926.2,529,349,263,PEQUENO,8,12
