rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,15.45,2600.56,2741.93,5987.29,1709.19,1664,1304,538,GRANDE,1,17
2,16.02,853.77,2759.0,11729.97,2465.29,1709,1768,1611,PEQUENO,6,12
3,11.22,1516.66,3657.68,9766.67,3670.39,1948,518,434,PEQUENO,7,12
4,19.65,663.88,2368.15,5678.9,3472.81,1920,21,1383,GRANDE,8,5
5,17.16,722.23,3860.74,11885.76,1637.54,683,492,880,MEDIO,7,3
6,14.6,1128.88,346.99,960.6,4454.58,810,789,1465,MEDIO,5,17
7,14.88,2443.85,538.74,5401.26,509.71,1822,270,400,PEQUENO,4,8
8,13.49,1978.94,696.2,11249.47,573.14,468,1974,1732,MEDIO,7,8
9,14.89,2755.13,1829.63,1812.19,4089.13,1742,600,607,GRANDE,2,12
10,14.05,624.46,3493.97,10909.38,1250.78,1658,1181,1290,MEDIO,2,8
11,14.86,2532.87,2082.67,1062.69,956.87,950,1101,119,MEDIO,3,8
12,13.19,1047.36,3019.51,946.12,1754.56,1737,1880,615,MEDIO,6,11
