rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,12.86,1433.69,1216.22,4027.43,1254.71,400,494,976,PEQUENO,8,14
2,15.42,1599.51,1438.01,4671.31,2636.83,805,161,1391,PEQUENO,4,7
3,14.44,2650.68,465.12,10038.28,1443.77,985,1719,449,GRANDE,6,9
4,10.11,1173.88,162.73,10713.01,3340.8,1052,1241,317,MEDIO,9,3
5,11.91,2455.28,431.31,9724.15,3082.84,1813,136,1815,GRANDE,2,7
6,10.79,1531.54,1754.29,2794.25,641.65,606,1136,288,PEQUENO,3,17
7,10.87,2786.82,2883.36,2064.79,1933.5,308,463,181,GRANDE,6,13
8,15.93,2640.39,3807.67,7562.47,3293.63,1268,319,1001,PEQUENO,6,9
9,19.27,2767.86,1408.0,8521.7,4701.88,1458,592,190,MEDIO,9,6
10,13.52,606.09,1172.26,8024.46,1154.85,825,1206,279,GRANDE,2,4
11,14.01,2386.4,1619.67,659.49,2816.65,419,645,1824,GRANDE,8,11
12,11.1,1918.61,988.92,6644.37,2906.57,1878,1978,360,MEDIO,1,19
