rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,14.61,2980.58,1813.26,9080.91,358.87,1093,240,1179,PEQUENO,1,9
2,19.61,1531.83,3406.39,122.83,2927.08,421,1055,738,MEDIO,1,4
3,13.99,2388.19,1540.95,3224.75,3110.2,1498,1525,535,PEQUENO,8,10
4,11.67,58.22,3770.67,1013.31,2994.22,1608,971,1096,PEQUENO,3,9
5,18.15,1237.0,3650.45,2946.54,428.91,1990,1205,1028,PEQUENO,3,3
6,17.35,1767.99,595.12,8614.29,3251.27,772,1789,1668,MEDIO,6,3
7,16.66,2379.72,2984.36,7528.47,3405.25,1527,1001,271,PEQUENO,9,5
8,19.93,374.71,3842.41,1936.82,881.29,827,1426,102,GRANDE,1,18
9,10.96,199.48,3542.7,1573.7,2076.04,1192,740,1259,MEDIO,8,10
10,15.29,1663.89,260.76,8922.19,3849.8,1036,1955,1850,GRANDE,3,18
11,13.14,1165.9,3238.51,7747.3,1078.22,868,934,1255,GRANDE,5,9
12,13.73,127.93,1961.23,9950.52,398.41,188,1958,1988,MEDIO,1,12
13,10.56,1102.09,2689.95,7305.26,380.0,1629,1671,282,PEQUENO,7,10
14,16.99,1033.25,2507.45,4915.97,2940.94,1483,897,1884,MEDIO,4,17
15,12.37,513.47,2156.29,2796.82,4377.96,1582,1169,1838,GRANDE,7,3
16,16.01,2331.98,1882.02,7359.7,1267.88,32,1273,1758,PEQUENO,8,18
17,10.16,2974.11,1510.18,10284.13,930.64,1140,334,1001,GRANDE,8,5
18,17.34,2961.96,1774.09,6147.19,4716.56,1618,1002,868,MEDIO,5,5
19,19.68,2268.54,3490.17,7677.94,1177.11,1149,1901,461,MEDIO,5,9
20,11.49,392.06,1460.98,8159.59,530.37,368,1847,938,MEDIO,1,19
21,10.52,2629.66,417.37,7173.25,857.68,1646,1668,823,MEDIO,2,19
22,10.18,1356.66,356.54,7966.03,4476.18,1935,1157,1527,MEDIO,5,9
23,15.7,2955.07,500.12,115.92,3341.81,130,453,1791,PEQUENO,3,13
24,10.71,664.79,3179.89,11906.58,4506.38,1724,729,1351,MEDIO,3,5
25,18.08,485.11,951.27,224.5,2207.59,377,31,1284,PEQUENO,2,14
26,13.49,814.04,2572.34,5617.47,4738.78,287,642,953,MEDIO,2,4
27,12.23,2493.57,2887.66,3158.96,1766.9,371,1683,1558,PEQUENO,7,14
28,14.45,2145.55,264.66,9415.54,4936.59,1460,386,1459,MEDIO,8,9
29,18.92,1264.73,3429.49,5440.24,4607.29,848,1923,227,MEDIO,3,10
30,11.2,548.77,861.57,4197.16,2804.42,1443,1698,356,PEQUENO,5,8
31,17.7,350.19,1324.9,2777.42,1024.81,1494,1211,447,MEDIO,6,14
32,15.75,221.79,1083.68,334.37,212.07,152,1991,829,MEDIO,4,15
33,11.77,1565.77,2534.5,8998.44,2486.81,122,417,90,MEDIO,4,18
34,15.21,110.77,3423.45,10156.43,2127.48,1,944,898,GRANDE,4,7
35,12.93,1480.88,1710.41,1537.54,4903.92,261,854,718,GRANDE,5,16
36,17.86,1755.46,1418.0,10271.28,1318.97,207,24,1400,MEDIO,2,19
