rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,18.00,300,160,900,300,80,80,80,PEQUENO,2,10
2,17.00,350,180,950,350,90,90,90,PEQUENO,2,12
3,16.00,400,200,1000,400,100,100,100,PEQUENO,2,14
4,15.00,450,220,1050,450,110,110,110,MEDIO,2,16
5,14.50,500,240,1100,500,120,120,120,MEDIO,3,16
6,14.00,550,260,1150,550,130,130,130,MEDIO,3,18
7,13.50,600,280,1200,600,140,140,140,MEDIO,3,20
8,13.00,650,300,1250,650,150,150,150,MEDIO,3,22
9,12.50,700,320,1300,700,160,160,160,MEDIO,4,24
10,12.00,750,340,1350,750,170,170,170,GRANDE,4,26
11,11.50,800,360,1400,800,180,180,180,GRANDE,4,28
12,11.00,850,380,1450,850,190,190,190,GRANDE,5,30
