rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,20.00,500,200,1000,400,100,100,100,PEQUENO,2,10
2,19.00,600,250,1100,450,120,120,110,PEQUENO,2,12
3,18.00,700,300,1200,500,140,140,120,MEDIO,3,14
4,17.50,800,350,1300,550,160,160,130,MEDIO,3,16
5,17.00,900,400,1400,600,180,180,140,MEDIO,3,16
6,16.50,1000,450,1500,650,200,200,150,GRANDE,4,18
7,16.00,1100,500,1600,700,220,220,160,GRANDE,4,20
8,15.50,1200,550,1700,750,240,240,170,GRANDE,4,22
9,15.00,1300,600,1800,800,260,260,180,GRANDE,5,24
10,14.50,1400,650,1900,850,280,280,190,GRANDE,5,26
11,14.00,1500,700,2000,900,300,300,200,GRANDE,6,28
12,13.50,1600,750,2100,950,320,320,210,GRANDE,6,30
