rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,14.2,1664.03,1157.12,6433.57,1819.46,667,790,1878,PEQUENO,1,4
2,15.06,510.8,3889.75,6195.85,2931.39,85,1488,679,MEDIO,1,10
3,13.31,1757.62,3724.39,5359.65,937.44,1504,362,990,MEDIO,2,4
4,10.73,449.62,2518.58,8083.11,2908.4,1592,406,639,MEDIO,4,13
5,14.01,1740.15,2179.32,9589.84,4360.63,27,390,1477,MEDIO,5,14
6,16.66,2366.26,1800.12,8174.29,3268.14,18,887,1264,GRANDE,7,8
7,19.64,2211.52,226.7,10249.47,637.83,1214,1237,1549,GRANDE,2,5
8,12.88,389.86,3073.54,9637.56,1411.88,1872,690,1084,PEQUENO,5,17
9,19.09,427.51,3741.44,745.18,67.37,1872,1389,1902,MEDIO,6,12
10,15.26,1538.91,509.14,2434.22,1429.56,1217,169,877,MEDIO,6,18
11,12.88,580.53,3741.91,1220.6,4103.39,375,693,270,GRANDE,2,6
12,17.43,1186.93,361.76,6896.16,3926.58,686,591,761,GRANDE,4,6
