rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,16.73,1833.05,745.99,6347.93,2903.61,1453,692,199,PEQUENO,2,3
2,19.97,2573.57,1598.76,2852.65,836.01,1918,237,1679,PEQUENO,6,11
3,14.61,1085.6,438.84,10930.34,715.55,1391,410,290,PEQUENO,3,12
4,11.11,1922.06,36.65,2911.64,4959.29,1765,825,226,PEQUENO,3,12
5,18.7,1133.17,298.92,1466.99,1349.87,33,489,1996,MEDIO,6,6
6,18.3,2728.16,1015.61,6905.04,729.04,353,493,1714,MEDIO,4,10
7,19.67,320.97,725.91,8231.0,3136.56,1869,598,354,PEQUENO,2,6
8,13.08,1704.51,3016.68,5751.02,983.33,1098,1963,1738,PEQUENO,2,17
9,10.96,1806.01,1599.75,3290.97,550.9,425,1257,1319,MEDIO,4,5
10,15.68,1966.46,232.56,2457.01,3723.44,1245,1214,702,GRANDE,8,11
11,10.94,1426.95,2662.85,5981.62,1721.56,417,1021,1566,MEDIO,2,19
12,19.02,887.69,2364.53,7207.86,2210.43,1972,808,1652,GRANDE,9,17
