rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,13.51,1565.24,3867.12,627.77,3672.57,1208,1704,1466,GRANDE,1,5
2,15.49,2019.7,1880.25,6489.43,2584.72,1889,871,604,PEQUENO,9,7
3,16.59,563.41,2224.64,8392.91,3364.14,1363,974,906,MEDIO,5,10
4,15.11,1423.46,1662.39,2300.8,4523.7,584,688,1681,MEDIO,7,13
5,12.72,2523.17,239.95,10864.7,4481.93,614,592,1185,MEDIO,9,13
6,15.71,2222.88,2748.38,10479.22,4530.62,1918,574,1662,MEDIO,9,17
7,15.0,1501.81,3499.72,9569.5,1181.71,1459,1079,411,GRANDE,7,6
8,11.59,1013.52,497.7,5948.54,2612.45,444,965,1992,MEDIO,8,16
9,17.05,1418.28,2895.56,1465.33,1911.91,1392,1218,48,MEDIO,5,5
10,17.65,739.46,3210.36,11631.79,1772.57,1954,1332,1617,PEQUENO,2,3
11,13.65,1265.88,3305.51,8855.53,1087.6,143,1593,1769,PEQUENO,3,12
12,11.61,2007.11,129.81,5561.43,2748.49,88,1150,1911,MEDIO,1,7
