rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,16.26,1693.71,2583.37,2249.48,731.44,267,1333,1860,MEDIO,8,4
2,13.43,2155.99,452.59,6439.08,1767.93,1885,765,1210,GRANDE,2,16
3,14.64,2818.92,1735.3,4569.16,2224.07,108,1897,1139,MEDIO,4,4
4,16.8,1661.27,3717.32,3989.66,4349.35,983,1571,330,GRANDE,7,17
5,19.23,944.6,1657.68,9119.11,3241.69,1625,235,1855,MEDIO,4,12
6,10.3,1402.25,2168.5,3401.15,4433.7,277,752,914,MEDIO,7,7
7,15.14,2278.86,3850.89,2109.13,3256.2,1595,252,967,GRANDE,9,12
8,18.68,2889.78,3634.98,8238.2,3967.16,1,1369,1593,GRANDE,7,9
9,16.39,2144.28,2057.19,6397.12,842.76,1802,829,328,PEQUENO,6,13
10,14.07,1360.86,382.32,5207.02,122.01,1317,1475,257,MEDIO,7,12
11,18.46,2996.84,2063.75,4474.07,1253.57,133,1580,1796,GRANDE,5,9
12,15.48,1222.0,1707.37,5998.49,4540.83,293,1062,376,MEDIO,3,11
