rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,10.0,262.03,1331.01,9588.01,1265.79,1876,1504,10,MEDIO,2,12
2,14.05,1991.32,1460.25,9384.51,473.35,410,270,531,GRANDE,4,8
3,11.07,2314.33,46.83,4228.02,3617.91,766,208,205,MEDIO,3,11
4,14.97,615.32,3008.23,8696.11,1298.98,1454,1740,1497,PEQUENO,2,8
5,18.36,1501.62,1618.5,9954.28,2042.65,897,1477,1422,GRANDE,5,15
6,12.94,1102.36,2965.01,6706.26,4651.73,124,1065,1037,MEDIO,7,7
7,19.6,2169.79,994.15,5999.42,2496.32,244,1646,1034,PEQUENO,2,11
8,15.61,2618.53,1568.93,750.91,4953.99,305,184,469,PEQUENO,6,13
9,12.13,110.87,1522.01,8682.34,78.1,1945,861,1226,GRANDE,7,12
10,10.48,730.13,154.82,11922.89,4320.65,1762,111,977,MEDIO,5,19
11,17.35,24.98,2210.18,6237.43,1305.87,1779,1317,1995,MEDIO,5,6
12,14.83,885.13,132.79,10144.11,2515.95,758,1494,239,PEQUENO,8,4
13,11.52,302.93,85.1,333.93,3811.51,1334,817,86,MEDIO,5,9
14,14.66,1386.46,1039.19,1981.4,2989.81,672,170,1612,GRANDE,4,4
15,10.9,91.28,3953.9,10946.45,1642.19,1593,1880,154,MEDIO,5,6
16,17.04,356.98,3802.83,7990.64,2840.49,30,1216,537,MEDIO,4,15
17,10.2,2044.16,1536.32,7966.68,1721.01,1508,305,1621,GRANDE,5,17
18,10.51,655.15,3954.38,10467.4,352.7,626,439,1999,MEDIO,5,14
19,12.82,843.11,2213.96,266.92,851.79,798,1683,1213,PEQUENO,1,4
20,13.21,2204.47,3475.5,1973.17,795.78,1652,31,1648,MEDIO,6,5
21,12.71,61.19,2198.34,7671.01,4820.35,1082,1130,1161,MEDIO,1,4
22,18.35,1044.08,614.22,10151.64,3352.31,1907,1990,312,PEQUENO,2,15
23,15.61,515.93,3111.42,11354.42,1887.77,479,971,891,GRANDE,5,13
24,15.04,2182.43,1155.74,7692.21,307.9,699,1776,1288,GRANDE,6,3
25,13.6,2277.08,116.2,134.09,349.77,1183,1954,1376,PEQUENO,5,15
26,18.51,2857.53,2712.13,4940.16,2942.9,494,1449,227,GRANDE,7,15
27,17.42,2040.7,596.37,8885.94,857.21,104,1027,1738,PEQUENO,7,10
28,13.91,1273.81,539.29,8149.72,4678.96,228,874,973,MEDIO,2,16
29,15.3,1450.06,2804.63,2478.17,3171.31,1403,102,130,GRANDE,4,7
30,10.68,1330.61,1496.97,7005.71,3950.51,954,41,1560,GRANDE,3,9
31,10.21,2951.64,2216.42,1604.13,4292.89,148,1450,1774,PEQUENO,2,10
32,18.8,2330.69,329.29,2404.87,3465.84,1214,746,712,GRANDE,6,16
33,14.73,1616.18,3772.98,6230.06,2111.65,1454,1997,807,PEQUENO,5,11
34,19.48,2380.72,2479.26,9823.0,4990.27,199,1613,998,MEDIO,4,7
35,11.85,2119.42,3765.5,8390.03,2655.78,406,792,477,MEDIO,1,11
36,19.59,233.43,3993.41,2570.0,3078.5,516,1257,453,GRANDE,9,9
