rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,15.41,1712.05,2627.81,575.88,4254.57,983,1722,271,MEDIO,7,10
2,12.19,2532.64,3835.94,9034.95,2870.79,1544,1316,396,GRANDE,2,12
3,18.48,1354.4,1338.63,8107.94,2440.25,1060,1709,369,MEDIO,3,7
4,14.08,353.31,838.37,2711.72,226.27,890,586,716,GRANDE,9,7
5,12.47,649.84,2424.78,9911.09,2147.26,81,774,1828,GRANDE,5,3
6,11.66,1729.21,1047.34,4371.95,3550.04,854,397,1491,MEDIO,2,12
7,12.16,2095.93,2513.03,4982.44,2495.67,1324,389,1157,GRANDE,3,9
8,16.24,1505.37,2760.99,4177.28,4607.55,72,797,1127,MEDIO,8,11
9,13.4,896.51,2950.15,5743.14,947.35,165,1198,237,PEQUENO,6,10
10,12.7,1014.21,2635.33,6109.65,2585.67,1345,733,1293,MEDIO,1,17
11,19.06,2278.73,2106.47,10684.82,2195.25,1244,31,375,PEQUENO,5,6
12,13.06,347.52,2080.3,6978.63,747.12,1934,1202,968,GRANDE,4,8
13,12.95,2724.24,706.0,7773.44,1371.43,1095,1219,392,GRANDE,6,7
14,12.04,1772.33,1087.49,448.18,4888.28,1722,1638,1202,MEDIO,2,10
15,15.08,2635.12,3896.87,9161.98,735.81,1183,1312,1150,MEDIO,5,14
16,17.6,195.42,1792.29,7942.59,1462.08,936,1788,172,MEDIO,6,5
17,18.55,2571.75,2313.26,7625.67,1267.74,1129,84,1946,PEQUENO,3,6
18,10.59,1892.71,1361.36,3487.94,3622.25,559,1590,1265,GRANDE,2,19
19,16.74,802.59,1801.11,7384.92,4616.7,1676,730,1316,GRANDE,4,16
20,17.6,448.11,44.5,3001.35,3591.13,1830,1026,1344,GRANDE,8,4
21,16.44,249.32,3646.12,4895.77,1035.93,1093,242,419,GRANDE,9,7
22,19.82,1754.74,3437.98,8138.58,3763.55,1520,987,920,GRANDE,3,4
23,11.04,2078.65,2697.25,7660.96,1231.79,396,1480,1870,MEDIO,3,7
24,17.78,2098.51,3170.04,2648.67,119.11,932,1106,1367,GRANDE,2,4
25,18.51,124.6,2745.6,6802.5,180.9,869,1061,311,GRANDE,6,3
26,11.37,1581.29,2672.65,7657.69,1025.56,928,1486,1914,GRANDE,3,15
27,10.92,619.16,3707.71,6450.06,3076.93,246,842,1514,MEDIO,5,16
28,12.82,541.28,3018.98,10189.83,192.8,701,920,1118,MEDIO,7,5
29,10.36,2491.61,1433.46,8635.24,4047.58,848,222,1454,PEQUENO,8,11
30,12.97,68.09,2913.97,7571.15,722.89,1969,1827,1173,GRANDE,1,6
31,13.73,1305.31,742.95,7106.93,2727.56,1739,395,27,MEDIO,8,14
32,17.55,1893.64,1495.87,2933.75,3555.02,7,263,396,MEDIO,9,4
33,13.58,2278.09,1384.12,6511.03,4100.56,1109,1473,974,MEDIO,3,7
34,18.05,2665.84,3758.07,3211.87,290.86,957,1977,909,PEQUENO,5,16
35,14.77,2725.42,2665.88,6467.16,419.61,38,1349,1223,MEDIO,6,18
36,10.02,726.25,2484.25,11796.37,4755.86,497,980,1758,MEDIO,6,11
