rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,18.3,1056.22,3630.54,6042.27,3328.43,294,1467,1802,MEDIO,6,7
2,11.25,715.26,995.36,2860.17,4210.18,1101,1828,477,MEDIO,6,5
3,14.45,994.99,2169.31,10505.0,3865.87,1329,1769,34,MEDIO,1,10
4,18.0,1218.65,3810.69,3349.73,3501.24,424,1108,1422,PEQUENO,9,15
5,17.5,1328.51,183.0,5390.29,2503.63,1265,1545,1787,MEDIO,4,9
6,16.24,1305.82,3063.02,9644.43,891.18,387,1125,221,MEDIO,1,8
7,14.44,2691.78,397.07,11531.23,63.15,1340,265,1430,PEQUENO,3,17
8,11.94,2210.53,768.78,2452.93,3589.02,394,1902,461,GRANDE,3,18
9,13.67,1284.05,3409.95,7237.41,3088.09,495,1204,97,MEDIO,6,17
10,13.18,1918.66,796.38,2436.75,2620.56,669,1514,1869,MEDIO,6,19
11,11.94,1955.77,3346.57,8741.91,3833.13,644,554,1794,PEQUENO,7,3
12,10.91,904.55,770.86,6190.86,1050.8,360,1416,1177,GRANDE,7,19
13,17.87,1944.92,2845.66,3047.29,4027.23,1107,906,1459,PEQUENO,4,8
14,16.12,179.55,612.39,5818.57,468.23,1832,1721,1277,MEDIO,9,11
15,15.77,604.8,80.33,9042.74,1136.45,1500,1637,97,GRANDE,7,8
16,14.9,2633.53,177.74,2992.81,2733.78,340,1332,76,MEDIO,8,9
17,17.5,143.51,3860.63,3383.36,976.05,98,1033,708,MEDIO,6,8
18,18.7,1531.49,3460.13,8784.29,1238.13,1244,1743,1819,GRANDE,7,19
19,18.09,61.07,286.97,6667.71,2318.31,1524,262,1849,GRANDE,1,17
20,18.56,1951.59,67.92,6360.57,1187.09,483,1380,553,PEQUENO,1,4
21,15.54,1859.56,2301.7,2139.92,2706.29,1314,360,1733,PEQUENO,3,4
22,18.19,1007.26,3974.7,3435.25,1403.64,1715,342,1087,GRANDE,8,19
23,17.81,88.32,2662.17,10770.3,3847.76,0,1714,1929,MEDIO,2,16
24,17.81,2487.39,440.94,8601.51,4848.83,1215,998,1286,GRANDE,8,11
25,15.97,663.13,3161.21,8009.81,551.74,378,146,1074,GRANDE,1,12
26,15.47,1852.5,3839.54,2162.28,3559.22,891,1298,651,MEDIO,7,18
27,10.85,1499.71,41.78,735.64,4977.67,184,1649,426,MEDIO,1,13
28,15.86,456.62,663.76,5225.11,968.62,1310,1360,567,GRANDE,7,4
29,15.17,2271.77,3543.19,8740.03,1150.68,577,1811,265,PEQUENO,9,17
30,13.86,2851.21,1954.1,3678.63,2641.22,87,967,1395,MEDIO,7,13
31,16.83,2750.24,185.97,3813.1,2500.06,1019,716,275,MEDIO,3,3
32,15.47,1018.3,2927.8,572.79,889.15,1531,1031,1433,MEDIO,1,10
33,17.35,1316.66,152.25,10914.88,4285.51,524,1176,1739,GRANDE,7,10
34,17.02,1752.88,1167.95,3634.65,266.08,793,550,1961,MEDIO,1,11
35,19.9,542.1,3585.67,6696.98,2949.51,433,549,463,GRANDE,3,19
36,11.51,315.28,1954.38,10382.86,3335.95,1530,1676,1691,GRANDE,8,15
