rodada,preco,investimentoPropagandaRadio,investimentoPropagandaJornal,investimentoPropagandaTV,investimentoPropagandaInternet,qtdProdutosEstoqueFornecedor1,qtdProdutosEstoqueFornecedor2,qtdProdutosEstoqueFornecedor3,tamanhoEstabelecimento,qtdCaixas,qtdFuncionarios
1,10.48,1987.35,301.61,7731.55,2986.31,374,1090,1650,MEDIO,4,8
2,15.03,439.3,376.81,6350.56,4298.63,26,1438,783,MEDIO,2,6
3,10.99,1547.82,3221.53,6093.97,3937.86,793,308,1597,MEDIO,6,16
4,15.86,66.83,1711.26,360.72,1193.49,1391,1206,1828,MEDIO,4,17
5,11.39,718.27,3140.24,1049.46,4631.93,1564,1233,1834,MEDIO,5,10
6,12.42,596.86,739.41,1917.42,757.55,92,1095,567,PEQUENO,4,17
7,18.86,2370.37,3602.21,6945.18,3979.9,862,1843,1675,MEDIO,3,16
8,19.08,521.28,2723.86,7070.2,3001.19,701,138,932,MEDIO,6,9
9,16.3,644.89,3864.91,1231.57,4396.32,416,1576,1010,MEDIO,4,5
10,12.98,547.55,1734.48,11248.28,2241.0,1036,1318,162,GRANDE,6,16
11,15.48,1982.12,2542.17,9022.89,2787.15,544,1187,1091,GRANDE,6,19
12,11.72,528.91,2136.61,2479.53,2302.06,1166,530,1061,MEDIO,1,8
13,15.96,1515.52,1526.75,427.23,2660.65,489,1406,668,MEDIO,4,15
14,13.66,2682.44,3560.33,8305.44,3975.24,1072,673,622,GRANDE,8,19
15,16.05,2559.02,42.24,10849.04,2742.58,1383,191,1333,MEDIO,7,6
16,18.51,58.94,2776.43,10148.76,3979.3,1423,802,1490,MEDIO,5,12
17,19.23,2610.39,1025.13,354.72,744.23,214,1550,1467,MEDIO,4,15
18,14.15,2423.12,2254.65,6230.28,2440.79,974,1512,466,PEQUENO,1,18
19,12.38,1869.99,2106.55,8927.23,4599.29,476,74,1451,MEDIO,6,13
20,13.43,2479.06,466.72,2396.48,3147.22,1200,377,279,PEQUENO,9,19
21,13.9,2211.31,204.07,4527.42,3293.5,694,1831,248,GRANDE,7,17
22,17.59,2549.73,2357.54,5649.08,2042.59,151,1511,1625,PEQUENO,8,18
23,14.09,2881.2,3852.2,6684.85,1206.89,744,934,1614,GRANDE,8,17
24,10.61,318.71,3315.63,7918.66,3914.1,1591,696,1544,GRANDE,8,10
25,14.59,1179.12,3112.72,3863.28,3307.02,1372,203,528,PEQUENO,2,10
26,16.23,2291.57,3463.22,9936.1,3321.5,1046,1201,1291,GRANDE,3,6
27,18.87,2069.01,1963.37,9496.21,2109.32,470,1889,379,GRANDE,7,17
28,17.82,24.45,1211.57,10578.26,2461.73,1846,1221,1731,MEDIO,7,11
29,16.38,1374.33,2638.66,7427.88,4947.08,982,487,823,MEDIO,2,5
30,17.84,1774.68,2968.51,9855.24,3218.96,1501,1746,872,MEDIO,7,4
31,14.62,1158.45,55.35,11778.5,1294.19,777,284,86,MEDIO,6,17
32,16.72,2149.6,3439.39,445.05,475.57,1511,1609,567,PEQUENO,9,13
33,13.55,1019.38,2873.55,11865.33,2315.16,1800,1642,75,MEDIO,7,4
34,19.31,2600.0,274.21,3375.21,2334.74,1212,40,1876,GRANDE,9,4
35,11.48,2864.66,1875.23,5667.72,1702.95,423,825,1163,PEQUENO,8,11
36,13.41,2321.62,3677.74,3579.6,4809.66,754,866,599,MEDIO,8,18
